Route,Stop Name,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Latitude,Longitude
 30,VARAZZE LE ROI,6.25,7.15,7.55,8.35,9.15,9.55,10.35,11.15,11.55,12.35,13.15,13.55,,,,, 
 30,VARAZZE PIANI,7.20,8.40,10.00,11.20,12.40,14.00,,,,,,,,,,44.3496697,8.5590175 
 30,SAVONA STAZIONE FF.SS.,14.05,14.45,15.25,16.05,16.45,17.25,18.05,18.45,20.05,21.35,,,,,,, 
 30,SAVONA VIA XX SETTEMBRE,14.10,14.50,15.30,16.10,16.50,17.30,18.10,18.50,20.10,21.40,,,,,,, 
 30,ALBISSOLA MARINA,14.17,14.57,15.37,16.17,16.57,17.37,18.17,18.57,20.17,21.47,,,,,,44.3272793,8.5031016 
 30,ALBISOLA CAPO,14.20,15.00,15.40,16.20,17.00,17.40,18.20,19.00,20.20,21.50,,,,,,44.3300864,8.5158377 
 30,CELLE LIGURE,14.27,15.07,15.47,16.27,17.07,17.47,18.27,19.07,20.27,21.57,,,,,,44.3463235,8.5444342 
 30,VARAZZE LE ROI,14.35,15.15,15.55,16.35,17.15,17.55,18.35,19.15,20.35,22.05,,,,,,, 
 30,VARAZZE PIANI,18.00,19.20,22.10,,,,,,,,,,,,,44.3496697,8.5590175 

 30,VARAZZE PIANI,06.05,06.40,07.00,07.00,07.20,08.05,08.30,09.35,10.30,,,,,,,44.3496697,8.5590175 
 30,VARAZZE LE ROI,06.10,06.45,07.05,07.05,07.25,08.10,08.35,09.05,09.40,10.05,10.35,,,,,, 
 30,CELLE LIGURE,06.20,06.55,07.15,07.15,07.15,07.35,08.20,08.45,09.15,09.50,10.15,10.45,,,,44.3463235,8.5444342 
 30,ALBISOLA CAPO,06.27,07.02,07.22,07.22,07.22,07.42,08.27,08.52,09.22,09.57,10.22,10.52,,,,44.3300864,8.5158377 
 30,ALBISSOLA MARINA,06.30,07.05,07.25,07.25,07.25,07.45,08.30,08.55,09.25,10.00,10.25,10.55,,,,44.3272793,8.5031016 
 30,SAVONA CORSO MAZZINI,06.35,07.10,09.00,09.30,10.10,10.30,11.00,,,,,,,,,44.3036729,8.4772479 
 30,SAVONA VIA PALEOCAPA,07.30,07.30,07.30,07.50,08.35,,,,,,,,,,,44.3086837,8.4800839 
 30,SAVONA STAZIONE FF.SS.,06.40,07.15,07.35,07.35,07.55,08.40,09.05,09.35,10.10,10.35,11.05,,,,,, 
 30,VARAZZE PIANI,11.30,12.35,13.05,14.05,14.30,15.30,16.30,,,,,,,,,44.3496697,8.5590175 
 30,VARAZZE LE ROI,11.05,11.35,12.05,12.40,13.10,13.25,14.10,14.35,15.05,15.35,16.05,16.35,,,,, 
 30,CELLE LIGURE,11.15,11.45,12.15,12.50,13.20,13.35,14.20,14.45,15.15,15.45,16.15,16.45,,,,44.3463235,8.5444342 
 30,ALBISOLA CAPO,11.22,11.52,12.22,12.57,13.27,13.42,14.27,14.52,15.22,15.52,16.22,16.52,,,,44.3300864,8.5158377 
 30,ALBISSOLA MARINA,11.25,11.55,12.25,13.00,13.30,13.45,14.30,14.55,15.25,15.55,16.25,16.55,,,,44.3272793,8.5031016 
 30,SAVONA CORSO MAZZINI,11.30,12.00,12.30,13.05,13.35,13.50,14.35,15.00,15.30,16.00,16.30,17.00,,,,44.3036729,8.4772479 
 30,SAVONA STAZIONE FF.SS.,11.35,12.05,12.35,13.10,13.40,13.55,14.40,15.05,15.35,16.05,16.35,17.05,,,,, 

 30,VARAZZE PIANI,17.30,18.30,19.30,21.00,23.30,,,,,,,,,,,44.3496697,8.5590175 
 30,VARAZZE LE ROI,17.05,17.35,18.05,18.35,19.05,19.35,19.45,20.10,21.05,22.20,23.35,,,,,, 
 30,CELLE LIGURE,17.15,17.45,18.15,18.45,19.15,19.45,19.55,20.20,21.15,22.30,23.45,,,,,44.3463235,8.5444342 
 30,ALBISOLA CAPO,17.22,17.52,18.22,18.52,19.22,19.52,20.02,20.27,21.22,22.37,23.52,,,,,44.3300864,8.5158377 
 30,ALBISSOLA MARINA,17.25,17.55,18.25,18.55,19.25,19.55,20.05,20.30,21.25,22.40,23.55,,,,,44.3272793,8.5031016 
 30,SAVONA CORSO MAZZINI,17.30,18.00,18.30,19.00,19.30,20.00,20.10,20.35,21.30,22.45,00.00,,,,,44.3036729,8.4772479 
 30,SAVONA STAZIONE FF.SS.,17.35,18.05,18.35,19.05,19.35,20.05,20.15,20.40,21.35,22.50,00.05,,,,,, 
 30,VARAZZE PIANI,7.30,8.50,10.10,11.30,12.50,14.10,,,,,,,,,,44.3496697,8.5590175 
 30,VARAZZE LE ROI,6.55,7.35,8.15,8.55,9.35,10.15,10.55,11.35,12.15,12.55,13.35,14.15,,,,, 
 30,CELLE LIGURE,7.05,7.45,8.25,9.05,9.45,10.25,11.05,11.45,12.25,13.05,13.45,14.25,,,,44.3463235,8.5444342 
 30,ALBISOLA CAPO,7.12,7.52,8.32,9.12,9.52,10.32,11.12,11.52,12.32,13.12,13.52,14.32,,,,44.3300864,8.5158377 
 30,ALBISSOLA MARINA,7.15,7.55,8.35,9.15,9.55,10.35,11.15,11.55,12.35,13.15,13.55,14.35,,,,44.3272793,8.5031016 
 30,SAVONA CORSO MAZZINI,7.20,8.00,8.40,9.20,10.00,10.40,11.20,12.00,12.40,13.20,14.00,14.40,,,,44.3036729,8.4772479 
 30,SAVONA STAZIONE FF.SS.,7.25,8.05,8.45,9.25,10.05,10.45,11.25,12.05,12.45,13.25,14.05,14.45,,,,, 
 30,VARAZZE PIANI,18.10,19.30,22.15,,,,,,,,,,,,,44.3496697,8.5590175 
 30,VARAZZE LE ROI,14.55,15.35,16.15,16.55,17.35,18.15,18.50,19.35,21.05,22.20,,,,,,, 
 30,CELLE LIGURE,15.05,15.45,16.25,17.05,17.45,18.25,19.00,19.45,21.15,22.30,,,,,,44.3463235,8.5444342 
 30,ALBISOLA CAPO,15.12,15.52,16.32,17.12,17.52,18.32,19.07,19.52,21.22,22.37,,,,,,44.3300864,8.5158377 
 30,ALBISSOLA MARINA,15.15,15.55,16.35,17.15,17.55,18.35,19.10,19.55,21.25,22.40,,,,,,44.3272793,8.5031016 
 30,SAVONA CORSO MAZZINI,15.20,16.00,16.40,17.20,18.00,18.40,19.15,20.00,21.20,22.45,,,,,,44.3036729,8.4772479 
 30,SAVONA STAZIONE FF.SS.,15.25,16.05,16.45,17.25,18.05,18.45,19.20,20.05,21.35,22.50,,,,,,, 
 31,AQUILA,08.00,09.21,10.51,11.21,13.18,,,,,,,,,,,44.4255754,8.5583887 
 31,FINALBORGO,06.25,07.45,08.13,08.43,9.13,09.43,10.43,11.13,11.43,12.23,13.20,14.15,,,,44.1763193,8.3276369 
 31,FINALMARINA,06.30,07.50,08.18,08.48,9.18,09.48,10.48,11.18,11.48,12.28,13.25,14.20,,,,44.1690789,8.3458301 
 31,FINALPIA,06.35,08.00,08.23,08.53,9.23,09.53,10.53,11.23,11.53,12.33,13.30,14.25,,,,44.1724591,8.3566689 
 31,CALVISIO,06.42,08.07,08.30,09.00,9.30,10.00,11.00,11.30,12.00,12.40,13.37,14.32,,,,44.1856441,8.354051 
 31,AQUILA,16.21,,,,,,,,,,,,,,,44.4255754,8.5583887 
 31,FINALBORGO,14.53,15.43,16.43,17.43,18.30,18.55,,,,,,,,,,44.1763193,8.3276369 
 31,FINALMARINA,14.58,15.48,16.48,17.48,18.35,19.00,,,,,,,,,,44.1690789,8.3458301 
 31,FINALPIA,15.05,15.53,16.53,17.53,18.40,19.05,,,,,,,,,,44.1724591,8.3566689 
 31,CALVISIO,15.10,16.00,17.00,18.00,18.47,19.12,,,,,,,,,,44.1856441,8.354051 
 31,CALVISIO,06.42,07.37,08.07,08.30,09.00,09.30,10.00,11.00,11.30,12.00,12.40,,,,,44.1856441,8.354051 
 31,FINALPIA,06.49,07.44,08.14,08.37,09.07,09.37,10.07,11.07,11.37,12.07,12.47,,,,,44.1724591,8.3566689 
 31,FINALMARINA,06.55,07.50,08.20,08.43,09.13,09.43,10.13,11.13,11.43,12.13,12.53,,,,,44.1690789,8.3458301 
 31,FINALBORGO,07.55,08.25,08.48,09.18,09.48,10.18,10.48,11.18,11.48,12.18,12.58,,,,,44.1763193,8.3276369 
 31,AQUILA,07.58,09.21,10.51,11.21,,,,,,,,,,,,44.4255754,8.5583887 
 31,CALVISIO,13.37,14.32,15.10,16.00,17.00,18.00,18.47,19.12,,,,,,,,44.1856441,8.354051 
 31,FINALPIA,13.44,14.39,15.17,16.07,17.07,18.07,18.54,19.19,,,,,,,,44.1724591,8.3566689 
 31,FINALMARINA,13.10,13.50,14.45,15.23,16.13,17.13,18.13,19.00,19.25,,,,,,,44.1690789,8.3458301 
 31,FINALBORGO,13.15,13.55,15.28,16.18,17.18,18.18,19.30,,,,,,,,,44.1763193,8.3276369 
 31,AQUILA,13.18,16.21,,,,,,,,,,,,,,44.4255754,8.5583887 
 31,AQUILA,08.13,11.57,14.30,,,,,,,,,,,,,44.4255754,8.5583887 
 31,FINALBORGO,07.25,08.15,09.25,10.00,10.45,11.20,12.15,14.32,15.15,15.55,16.15,16.45,,,,44.1763193,8.3276369 
 31,FINALMARINA,07.30,08.20,09.30,10.05,10.50,11.25,12.20,14.35,15.20,16.00,16.20,16.50,,,,44.1690789,8.3458301 
 31,FINALPIA,07.35,08.25,09.35,10.10,10.55,11.30,12.25,14.40,15.25,16.05,16.25,16.55,,,,44.1724591,8.3566689 
 31,CALVISIO,07.42,08.32,09.42,10.17,11.02,11.37,12.32,14.47,15.32,16.12,16.32,17.02,,,,44.1856441,8.354051 
 31,AQUILA,18.53,,,,,,,,,,,,,,,44.4255754,8.5583887 
 31,FINALBORGO,17.15,18.20,18.55,19.25,,,,,,,,,,,,44.1763193,8.3276369 
 31,FINALMARINA,17.20,18.25,19.00,19.30,,,,,,,,,,,,44.1690789,8.3458301 
 31,FINALPIA,17.25,18.30,19.35,,,,,,,,,,,,,44.1724591,8.3566689 
 31,CALVISIO,17.32,18.37,19.42,,,,,,,,,,,,,44.1856441,8.354051 
 31,CALVISIO,07.42,08.32,09.42,10.17,11.02,11.37,12.32,14.47,15.32,16.12,16.32,,,,,44.1856441,8.354051 
 31,FINALPIA,07.49,08.39,09.49,10.24,11.09,11.44,12.39,14.54,15.39,16.19,16.39,,,,,44.1724591,8.3566689 
 31,FINALMARINA,07.55,08.45,09.55,10.30,11.15,11.50,12.45,14.25,15.00,15.45,16.25,16.45,,,,44.1690789,8.3458301 
 31,FINALBORGO,08.00,08.50,10.00,10.35,11.20,11.55,12.50,14.28,15.05,15.50,16.30,16.50,,,,44.1763193,8.3276369 
 31,AQUILA,08.13,11.57,14.30,,,,,,,,,,,,,44.4255754,8.5583887 
 31,CALVISIO,17.02,17.32,18.37,19.42,,,,,,,,,,,,44.1856441,8.354051 
 31,FINALPIA,17.09,17.39,18.44,19.49,,,,,,,,,,,,44.1724591,8.3566689 
 31,FINALMARINA,17.15,17.45,18.50,19.55,,,,,,,,,,,,44.1690789,8.3458301 
 31,FINALBORGO,17.50,18.52,20.00,,,,,,,,,,,,,44.1763193,8.3276369 
 31,AQUILA,18.53,,,,,,,,,,,,,,,44.4255754,8.5583887 

 32,STAZIONE FINALE LIGURE,07.10,08.00,08.30,09.30,10.25,11.30,12.20,13.15,16.00,17.00,18.45,,,,,44.1819909,8.3919521 
 32,EX OSPEDALE RUFFINI,07.15,08.05,08.40,09.40,10.35,11.35,12.30,13.25,16.10,17.05,18.50,,,,,, 
 32,MONTICELLO,11.45,13.35,,,,,,,,,,,,,,44.1813998,8.3307026 
 32,SAN BERNARDINO,07.25,13.45,,,,,,,,,,,,,,44.1812272,8.3400627 
 32,SAN BERNARDINO,07.25,13.45,,,,,,,,,,,,,,44.1812272,8.3400627 
 32,MONTICELLO,07.30,11.45,,,,,,,,,,,,,,44.1813998,8.3307026 
 32,EX OSPEDALE RUFFINI,07.40,08.10,08.40,09.40,10.40,11.55,12.35,13.55,16.10,17.10,18.50,,,,,, 
 32,STAZIONE FINALE LIGURE,07.50,08.15,08.45,09.45,10.45,12.00,12.40,14.00,16.15,17.15,18.55,,,,,44.1819909,8.3919521 
 33,FINALBORGO,06.45,12.50,,,,,,,,,,,,,,44.1763193,8.3276369 
 33,FINALMARINA,06.50,12.55,,,,,,,,,,,,,,44.1690789,8.3458301 
 33,LE MANIE,07.15,13.20,,,,,,,,,,,,,,44.195282,8.3744332 
 33,LE MANIE,07.15,13.20,,,,,,,,,,,,,,44.195282,8.3744332 
 33,CALVISIO,07.35,,,,,,,,,,,,,,,44.1856441,8.354051 
 33,FINALMARINA,07.50,13.45,,,,,,,,,,,,,,44.1690789,8.3458301 
 33,FINALBORGO,07.55,,,,,,,,,,,,,,,44.1763193,8.3276369 
 33,AQUILA,07.58,,,,,,,,,,,,,,,44.4255754,8.5583887 

 34,FINALMARINA,655,1025,1305,1335,1405,1445,1625,1855,,,,,,,,44.1690789,8.3458301 
 34,FINALBORGO,700,1030,1310,1340,1410,1450,1630,1900,,,,,,,,44.1763193,8.3276369 
 34,FEGLINO,710,1040,1320,1350,1420,1500,1640,1910,,,,,,,,44.2206828,8.3241235 
 34,ORCO,723,1053,1333,1433,1653,1923,,,,,,,,,,44.2226923,8.3445654 

 34,ORCO,723,1053,1333,1433,1653,1923,,,,,,,,,,44.2226923,8.3445654 
 34,FEGLINO,640,735,1105,1345,1350,1445,1500,1705,1935,,,,,,,44.2206828,8.3241235 
 34,FINALBORGO,650,745,1115,1355,1400,1455,1510,1715,1945,,,,,,,44.1763193,8.3276369 
 34,FINALMARINA,655,750,1120,1400,1405,1500,1515,1720,1950,,,,,,,44.1690789,8.3458301 
 34,FINALMARINA,1025,1300,1745,,,,,,,,,,,,,44.1690789,8.3458301 
 34,FINALBORGO,1030,1305,1750,,,,,,,,,,,,,44.1763193,8.3276369 
 34,FEGLINO,1040,1315,1800,,,,,,,,,,,,,44.2206828,8.3241235 
 34,ORCO,1053,1328,1813,,,,,,,,,,,,,44.2226923,8.3445654 
 34,ORCO,1053,1328,1813,,,,,,,,,,,,,44.2226923,8.3445654 
 34,FEGLINO,1105,1340,1825,,,,,,,,,,,,,44.2206828,8.3241235 
 34,FINALBORGO,1120,1350,1835,,,,,,,,,,,,,44.1763193,8.3276369 
 34,FINALMARINA,1125,1355,1840,,,,,,,,,,,,,44.1690789,8.3458301 

 35,FINALMARINA,06.00,06.55,07.40,08.45,11.10,12.35,13.10,14.20,14.20,,,,,,,44.1690789,8.3458301 
 35,FINALBORGO,06.05,07.00,07.45,08.50,11.15,12.40,13.15,14.25,14.25,,,,,,,44.1763193,8.3276369 
 35,CALICE LIGURE,06.15,06.45,07.10,07.58,09.00,11.25,12.05,12.50,13.25,13.25,14.35,14.35,,,,44.204933,8.295351 
 35,CARBUTA,07.22,12.17,13.42,14.47,,,,,,,,,,,,44.2212693,8.3024373 
 35,RIALTO PIAZZA CALVI,06.25,06.53,08.06,09.08,11.33,12.58,13.33,14.43,,,,,,,,, 
 35,RIALTO COMUNE,07.05,08.18,09.20,11.45,13.10,13.45,14.55,,,,,,,,,, 
 35,CARBUTA,07.22,12.17,13.42,14.47,,,,,,,,,,,,44.2212693,8.3024373 
 35,CALICE LIGURE,06.35,07.25,07.35,08.28,09.40,12.05,12.30,13.20,13.55,13.55,15.00,15.05,,,,44.204933,8.295351 
 35,FINALBORGO,06.45,07.35,07.50,08.38,09.50,12.40,14.05,15.15,,,,,,,,44.1763193,8.3276369 
 35,FINALMARINA,06.50,07.40,07.55,08.43,09.55,12.45,14.15,15.20,,,,,,,,44.1690789,8.3458301 

 35,FINALMARINA,14.50,17.30,19.00,,,,,,,,,,,,,44.1690789,8.3458301 
 35,FINALBORGO,14.55,17.35,19.05,,,,,,,,,,,,,44.1763193,8.3276369 
 35,CALICE LIGURE,15.05,17.45,18.05,19.15,,,,,,,,,,,,44.204933,8.295351 
 35,CARBUTA,18.17,,,,,,,,,,,,,,,44.2212693,8.3024373 
 35,RIALTO PIAZZA CALVI,15.13,17.55,19.23,,,,,,,,,,,,,, 
 35,RIALTO COMUNE,15.25,19.35,,,,,,,,,,,,,,, 
 35,CARBUTA,18.17,,,,,,,,,,,,,,,44.2212693,8.3024373 
 35,CALICE LIGURE,15.45,18.05,18.30,19.45,,,,,,,,,,,,44.204933,8.295351 
 35,FINALBORGO,15.55,18.40,19.55,,,,,,,,,,,,,44.1763193,8.3276369 
 35,FINALMARINA,16.00,18.45,20.00,,,,,,,,,,,,,44.1690789,8.3458301 

 35,FINALMARINA,07.10,11.35,13.35,17.20,18.55,,,,,,,,,,,44.1690789,8.3458301 
 35,FINALBORGO,07.15,11.40,13.40,17.25,19.00,,,,,,,,,,,44.1763193,8.3276369 
 35,CALICE LIGURE,07.25,07.55,11.50,13.50,14.10,17.35,19.10,19.40,,,,,,,,44.204933,8.295351 
 35,CARBUTA,08.07,14.22,19.52,,,,,,,,,,,,,44.2212693,8.3024373 
 35,RIALTO PIAZZA CALVI,07.33,11.58,14.00,17.45,19.18,,,,,,,,,,,, 
 35,RIALTO COMUNE,07.45,12.10,19.30,,,,,,,,,,,,,, 
 35,CARBUTA,08.07,14.22,19.52,,,,,,,,,,,,,44.2212693,8.3024373 
 35,CALICE LIGURE,07.55,08.20,12.20,14.10,14.35,17.55,19.40,20.05,,,,,,,,44.204933,8.295351 
 35,FINALBORGO,08.30,12.30,14.45,18.05,20.15,,,,,,,,,,,44.1763193,8.3276369 
 35,FINALMARINA,08.35,12.35,14.50,18.10,20.20,,,,,,,,,,,44.1690789,8.3458301 



 36,FINALE STAZIONE,08.30,10.45,12.10,13.45,14.05,14.15,16.30,,,,,,,,,, 
 36,GORRA,08.40,10.55,12.20,13.55,14.15,14.25,16.40,,,,,,,,,44.1831767,8.2972225 
 36,OLLE INFERIORE,08.45,11.00,12.25,14.00,14.30,,,,,,,,,,,44.1880685,8.2826561 
 36,CA DEL MORO,14.20,16.45,,,,,,,,,,,,,,44.1937229,8.2852869 
 36,CANOVA,14.30,,,,,,,,,,,,,,,44.3652769,8.3901644 
 36,MELOGNO,,,,,,,,,,,,,,,,44.2313039,8.2140723 



 36,MELOGNO,,,,,,,,,,,,,,,,44.2313039,8.2140723 
 36,CANOVA,14.30,,,,,,,,,,,,,,,44.3652769,8.3901644 
 36,CA DEL MORO,14.40,16.45,,,,,,,,,,,,,,44.1937229,8.2852869 
 36,OLLE INFERIORE,08.45,11.00,12.25,14.00,14.30,,,,,,,,,,,44.1880685,8.2826561 
 36,GORRA,08.50,11.05,12.30,14.05,14.35,14.45,16.50,,,,,,,,,44.1831767,8.2972225 
 36,FINALE STAZIONE,09.00,11.15,12.40,14.15,14.45,14.55,17.00,,,,,,,,,, 

 37,SAVONA STAZIONE FF.SS.,06.20,17.10,,,,,,,,,,,,,,, 
 37,SAVONA VIA XX SETTEMBRE,06.25,17.15,,,,,,,,,,,,,,, 
 37,SAVONA PIAZZA MAMELI,07.20,13.10,14.15,16.25,17.55,19.20,,,,,,,,,,, 
 37,SAVONA STAZIONE FF.SS.,07.25,13.15,14.20,16.30,18.00,19.25,,,,,,,,,,, 
 37,VADO LIGURE,06.40,07.30,08.50,09.40,10.30,11.55,13.25,14.30,16.40,17.30,18.10,19.35,,,,44.2714401,8.4382205 
 37,PORTO VADO,06.42,07.32,08.52,09.42,10.32,11.57,13.27,14.32,16.42,17.32,18.12,19.37,,,,44.2628028,8.4451023 
 37,BERGEGGI BIVIO,06.45,07.35,08.55,09.45,10.35,12.00,13.30,14.35,16.45,17.35,18.15,19.40,,,,44.2513331,8.447935 
 37,BERGEGGI (P. Roma),09.05,09.55,10.45,12.07,13.37,14.42,16.52,17.37,18.22,19.47,,,,,,, 
 37,TORRE DEL MARE,06.55,07.45,09.10,10.00,10.50,12.10,13.40,14.45,16.55,17.40,18.25,19.50,,,,44.2390311,8.4390184 
 37,BERGEGGI (P. Roma),06.58,07.55,,,,,,,,,,,,,,, 

 37,TORRE DEL MARE,06.55,07.45,09.10,10.00,10.50,12.10,13.40,14.45,16.30,18.25,19.50,,,,,44.2390311,8.4390184 
 37,BERGEGGI (P. Roma),06.58,07.55,09.18,10.08,10.58,12.13,13.50,14.48,16.35,18.35,19.53,,,,,, 
 37,BERGEGGI BIVIO,07.05,08.00,09.25,10.15,11.05,12.20,13.55,14.55,16.40,18.40,20.00,,,,,44.2513331,8.447935 
 37,PORTO VADO,07.08,08.02,09.27,10.17,11.07,12.23,13.58,14.58,16.43,18.43,20.03,,,,,44.2628028,8.4451023 
 37,VADO LIGURE,07.10,08.05,09.30,10.20,11.10,12.25,14.00,15.00,16.45,18.45,20.05,,,,,44.2714401,8.4382205 
 37,SAVONA STAZIONE FF.SS.,20.15,,,,,,,,,,,,,,,, 
 37,SAVONA PIAZZA MAMELI,07.20,12.45,14.15,15.15,17.00,18.55,20.20,,,,,,,,,, 
 37,SAVONA STAZIONE FF.SS.,07.25,14.20,15.20,17.05,,,,,,,,,,,,, 
 37,SAVONA PIAZZA MAMELI,13.00,17.15,TORRE DEL MARE,13.30,17.40,,,,,,,,,,,, 
 37,SAVONA STAZIONE FF.SS.,13.05,17.20,BERGEGGI (P. Roma),13.33,17.43,,,,,,,,,,,, 
 37,VADO LIGURE,13.15,17.25,BERGEGGI BIVIO,13.40,17.50,,,,,,,,,,,44.2714401,8.4382205 
 37,PORTO VADO,13.17,17.27,PORTO VADO,13.43,17.53,,,,,,,,,,,44.2628028,8.4451023 
 37,BERGEGEGGI BIVIO,13.20,17.30,VADO LIGURE,13.45,17.55,,,,,,,,,,,, 
 37,BERGEGGI (P. Roma),13.27,17.37,SAVONA PIAZZA MAMELI,13.50,18.00,,,,,,,,,,,, 
 37,TORRE DEL MARE,13.30,17.40,SAVONA STAZIONE FF.SS.,13.55,18.05,,,,,,,,,,,44.2390311,8.4390184 
 38,SPOTORNO,08.40,,,,,,,,,,,,,,,44.2272571,8.4191772 
 38,VOZE,08.55,,,,,,,,,,,,,,,44.2136635,8.3954513 
 38,NOLI,09.05,,,,,,,,,,,,,,,44.2058832,8.416419 
 38,SPOTORNO,09.10,,,,,,,,,,,,,,,44.2272571,8.4191772 
 38,SAVONA PIAZZA,MAMELI,09.35,,,,,,,,,,,,,,44.3079204,8.4714058 

 39,VEZZI SAN FILIPPO,06.30,07.40,13.40,15.40,18.35,,,,,,,,,,,44.243059,8.344116 
 39,VEZZI SAN GIORGIO,06.35,07.45,13.45,15.45,18.40,,,,,,,,,,,44.2371849,8.3633496 
 39,MAGNONE,06.40,07.50,13.50,15.50,18.45,,,,,,,,,,,44.2225554,8.3733477 
 39,PORTIO,06.45,07.55,---,15.55,18.50,,,,,,,,,,,44.2212411,8.358324 
 39,MAGNONE,06.50,08.00,---,16.00,18.55,,,,,,,,,,,44.2225554,8.3733477 
 39,TOSSE,06.55,08.05,13.53,16.05,19.00,,,,,,,,,,,44.2274207,8.3846278 
 39,SPOTORNO,07.10,08.15,14.05,16.20,16.20,19.10,,,,,,,,,,44.2272571,8.4191772 
 39,VADO LIGURE,16.45,19.20,,,,,,,,,,,,,,44.2714401,8.4382205 
 39,ZINOLA,16.50,19.25,,,,,,,,,,,,,,44.2832091,8.4453713 
 39,SAVONA SAN MICHELE,16.55,,,,,,,,,,,,,,,44.3009847,8.4722124 
 39,SAVONA PIAZZA MAMELI,17.00,,,,,,,,,,,,,,,, 
 39,SAVONA STAZIONE FF.SS.,17.05,,,,,,,,,,,,,,,, 

 39,SAVONA STAZIONE FF.SS.,12.35,---,17.10,,,,,,,,,,,,,, 
 39,SAVONA PIAZZA MAMELI,---,16.25,---,,,,,,,,,,,,,, 
 39,SAVONA VIA XX SETTEMBRE,12.40,---,17.15,,,,,,,,,,,,,, 
 39,SAVONA SAN MICHELE,12.45,---,17.20,,,,,,,,,,,,,44.3009847,8.4722124 
 39,SAVONA STAZIONE FF.SS.,---,16.30,---,,,,,,,,,,,,,, 
 39,ZINOLA,12.50,16.38,17.25,,,,,,,,,,,,,44.2832091,8.4453713 
 39,VADO LIGURE,12.55,16.40,17.30,,,,,,,,,,,,,44.2714401,8.4382205 
 39,SPOTORNO,06.05,07.15,13.05,14.10,15.05,17.10,18.00,,,,,,,,,44.2272571,8.4191772 
 39,TOSSE,06.15,07.25,13.15,14.20,15.15,17.20,18.10,,,,,,,,,44.2274207,8.3846278 
 39,MAGNONE,06.20,07.30,13.20,14.25,15.20,17.25,18.15,,,,,,,,,44.2225554,8.3733477 
 39,PORTIO,13.25,14.30,15.25,17.30,18.20,,,,,,,,,,,44.2212411,8.358324 
 39,MAGNONE,06.20,13.30,14.35,15.30,17.35,18.25,,,,,,,,,,44.2225554,8.3733477 
 39,VEZZI SAN GIORGIO,06.25,07.35,13.35,14.40,15.35,17.40,18.30,,,,,,,,,44.2371849,8.3633496 
 39,VEZZI SAN FILIPPO,06.30,07.40,13.40,14.45,15.40,17.45,18.35,,,,,,,,,44.243059,8.344116 
 40,DA,ALBENGA,,,,,,,,,,,,,,,44.3080251,8.4810315 
 40,CALIZZANO,FF.SS.,,,,,,,,,,,,,,,44.2368806,8.1144696 

 40,ANDORA STAZIONE FF.SS.,,,,,,,,,,,,,,,,, 
 40,ANDORA,5.30,6.15,6.55,6.55,6.55,7.30,8.0,,,,,,,,,43.9519286,8.1456487 
 40,LAIGUEGLIA,5.40,6.25,7.05,7.05,7.05,7.40,8.1,,,,,,,,,43.9788263,8.157351 
 40,ALASSIO,5.50,6.35,7.15,7.15,7.15,7.50,8.2,,,,,,,,,44.0080109,8.1730265 
 40,ALBENGA VADINO,5.34,6.04,6.34,6.49,7.09,7.29,7.29,7.29,8.04,8.34,,,,,,44.0472894,8.2215848 
 40,ALBENGA CENTRO,5.35,6.05,6.35,6.50,7.10,7.30,7.30,7.30,8.05,8.35,,,,,,44.0555318,8.1965998 
 40,ALBENGA OSPEDALE,6.55,,,,,,,,,,,,,,,, 
 40,CERIALE,5.48,6.18,6.48,7.08,7.08,7.23,7.43,7.43,7.43,7.45,8.18,8.48,,,,44.091629,8.223251 
 40,BORGHETTO S.S.,5.53,6.23,6.53,7.13,7.13,7.15,7.28,7.48,7.48,7.48,7.50,8.23,8.53,,,44.1144461,8.235328 
 40,LOANO,6.00,6.30,7.00,7.20,7.20,7.20,7.35,7.55,7.55,7.55,7.55,8.30,9.0,,,44.1287537,8.2593713 
 40,PIETRA SANTA CORONA,6.05,6.35,7.05,7.25,7.25,7.25,7.40,8.00,8.00,8.35,9.05,,,,,, 
 40,BORGIO VEREZZI,6.10,6.40,7.10,7.30,7.30,7.30,7.45,8.05,8.05,8.40,9.1,,,,,44.164968200000004,8.306662116087459 
 40,FINALMARINA,7.35,7.35,7.35,7.50,8.10,8.10,9.15,,,,,,,,,44.1690789,8.3458301 
 40,FINALBORGO,7.40,7.40,7.40,7.55,8.15,8.15,,,,,,,,,,44.1763193,8.3276369 
 40,FINALMARINA,6.15,6.45,7.15,7.45,7.45,8.20,8.20,8.45,,,,,,,,44.1690789,8.3458301 
 40,FINALPIA,6.18,6.48,7.18,7.48,7.48,8.23,8.23,8.48,9.18,,,,,,,44.1724591,8.3566689 

 40,ANDORA STAZIONE FF.SS.,9.25,12.20,,,,,,,,,,,,,,, 
 40,ANDORA,8.40,9.00,9.30,9.45,10.00,10.30,11.00,11.30,12.00,12.25,12.45,,,,,43.9519286,8.1456487 
 40,LAIGUEGLIA,8.50,9.10,9.40,9.55,10.10,10.40,11.10,11.40,12.10,12.35,12.55,,,,,43.9788263,8.157351 
 40,ALASSIO,9.00,9.20,9.50,10.05,10.20,10.50,11.20,11.50,12.20,12.45,13.05,,,,,44.0080109,8.1730265 
